ID,Store
80002,Target
80002,Home Depot
80010,Levi's
80010,Puma
80010,Cuisinart
80010,Converse
80010,DKNY
80010,Express
80010,Kohl's
80010,Old Navy
80010,Container Store
80010,Nordstrom
80011,Kenneth Cole
80011,Calvin Klein
80011,French Connection
80011,BCBGMAXAZRIA
80011,Nine West
80011,Steve Madden
80011,Diesel
80011,Guess
80011,Banana Republic
80011,Gap
80011,Restoration Hardware
80011,Crate & Barrel
80011,Target
80011,Nordstrom
80015,Banana Republic
80015,Gap
80015,Target
80015,Home Depot
80020,Tommy Hilfiger
80021,Kenneth Cole
80021,Betsey Johnson
80021,BCBGMAXAZRIA
80021,Elie Tahari
80021,Steve Madden
80021,Guess
80021,DKNY
80021,Kate Spade
80021,Kohl's
80021,Target
80027,Home Depot
80032,Tommy Hilfiger
80032,Puma
80032,Banana Republic
80032,Kohl's
80032,Old Navy
80032,Target
80032,Nordstrom
80042,Serena and Lily
80043,Calvin Klein
80043,Kohl's
80046,Levi's
80046,New Balance
80046,Kohl's
80046,Old Navy
80046,Target
80048,Elie Tahari
80048,Nine West
80048,Macy's
80050,KitchenAid
80050,Betsey Johnson
80050,Cuisinart
80050,Lacoste
80050,Nine West
80050,Diesel
80050,Banana Republic
80050,Kate Spade
80050,Gap
80050,Ethan Allen
80050,Restoration Hardware
80050,J.Crew
80050,Lands' End
80050,Crate & Barrel
80050,Target
80050,Home Depot
80050,Nordstrom
80054,Levi's
80054,Gap
80054,Target
80056,Target
80065,New Balance
80065,Nine West
80065,Steve Madden
80065,DKNY
80065,Banana Republic
80065,Gap
80065,Restoration Hardware
80065,J.Crew
80065,Express
80065,Kohl's
80065,Lands' End
80065,Old Navy
80065,6pm.com
80065,Target
80065,Container Store
80065,Home Depot
80065,Shoebuy
80079,KitchenAid
80082,Columbia
80082,Kenneth Cole
80082,Betsey Johnson
80082,Kate Spade
80082,Gap
80082,J.Crew
80082,Old Navy
80082,6pm.com
80082,Target
80084,Levi's
80084,Melissa & Doug
80084,KitchenAid
80084,Cuisinart
80084,New Balance
80084,Converse
80084,Crocs
80084,Kohl's
80084,Old Navy
80084,Target
80084,Home Depot
80085,Converse
80085,Steve Madden
80085,Walk-Over
80085,Kohl's
80085,Target
80085,Nordstrom
80092,Columbia
80092,Puma
80092,Express
80092,Kohl's
80092,Target
80093,Hanky Panky
80100,Levi's
80100,KitchenAid
80100,Cuisinart
80100,Converse
80100,Kohl's
80100,Lands' End
80100,Old Navy
80100,Crate & Barrel
80100,Target
80100,Home Depot
80102,Target
80102,Home Depot
80104,Betsey Johnson
80109,Crate & Barrel
80113,Guess
80117,Banana Republic
80117,Express
80117,Nordstrom
80119,KitchenAid
80119,Gap
80119,Life is good
80119,J.Crew
80119,Kohl's
80119,Lands' End
80119,Old Navy
80119,Crate & Barrel
80119,Target
80119,Container Store
80119,Home Depot
80119,Nordstrom
80125,Gap
80125,Target
80128,Converse
80128,Nine West
80128,Express
80128,Kohl's
80128,Target
80128,Nordstrom
80130,Puma
80133,Banana Republic
80135,Crate & Barrel
80139,Kenneth Cole
80139,KitchenAid
80139,Lacoste
80139,Nine West
80139,Diesel
80139,Banana Republic
80139,Kate Spade
80139,J.Crew
80139,Express
80139,Crate & Barrel
80139,Target
80139,Home Depot
80139,Nordstrom
80140,Kenneth Cole
80140,Calvin Klein
80140,Lacoste
80140,Banana Republic
80140,J.Crew
80140,Express
80147,Gap
80151,Target
80154,Lacoste
80154,BCBGMAXAZRIA
80154,Steve Madden
80154,Diesel
80154,Banana Republic
80154,Express
80154,Old Navy
80154,Forever 21
80154,Target
80154,Home Depot
80154,Nordstrom
80155,Levi's
80155,Nicole Miller
80155,Hanky Panky
80155,Melissa & Doug
80155,KitchenAid
80155,BCBGMAXAZRIA
80155,Elie Tahari
80155,Nine West
80155,Guess
80155,Restoration Hardware
80155,Express
80155,Kohl's
80155,Last Call by Neiman Marcus
80155,Old Navy
80155,Crate & Barrel
80155,6pm.com
80155,Target
80155,Nordstrom
80157,Levi's
80157,Puma
80157,KitchenAid
80157,Lacoste
80157,New Balance
80157,Converse
80157,BCBGMAXAZRIA
80157,Nine West
80157,Diesel
80157,DKNY
80157,Kohl's
80157,Lands' End
80157,Home Depot
80157,Shoebuy
80160,BCBGMAXAZRIA
80160,Express
80160,Kohl's
80160,Crate & Barrel
80160,Target
80160,Nordstrom
80161,Cuisinart
80161,Gap
80161,J.Crew
80161,Container Store
80164,Wet Seal
80164,Target
80169,ZOO
80170,Old Navy
80178,Banana Republic
80182,Melissa & Doug
80182,KitchenAid
80182,Calvin Klein
80182,Cuisinart
80182,BCBGMAXAZRIA
80182,Steve Madden
80182,Guess
80182,Banana Republic
80182,Kate Spade
80182,Gap
80182,Restoration Hardware
80182,Kohl's
80182,Old Navy
80182,Crate & Barrel
80182,CB2
80182,Target
80182,Container Store
80182,Home Depot
80185,Banana Republic
80185,Target
80185,Shoebuy
80186,Home Depot
80187,Columbia
80187,Puma
80187,Melissa & Doug
80187,KitchenAid
80187,Cuisinart
80187,Nine West
80187,Banana Republic
80187,Gap
80187,Le Creuset
80187,J.Crew
80187,Lands' End
80187,Crate & Barrel
80187,Target
80187,Container Store
80187,Nordstrom
80190,DKNY
80198,Serena and Lily
80199,Life is good
80199,Target
80204,Shoebuy
80205,Levi's
80205,KitchenAid
80205,Cuisinart
80205,Crocs
80205,Nine West
80205,Restoration Hardware
80205,Express
80205,Kohl's
80205,Lands' End
80205,Target
80205,Container Store
80205,Home Depot
80206,Elie Tahari
80207,Hanky Panky
80207,Last Call by Neiman Marcus
80207,Nordstrom
80214,Nordstrom
80216,Lacoste
80220,Puma
80220,KitchenAid
80220,Crocs
80220,Gap
80220,Old Navy
80220,Crate & Barrel
80220,Target
80220,Home Depot
80221,Target
80229,KitchenAid
80229,Guess
80229,Banana Republic
80229,Home Depot
80229,Nordstrom
80229,Shoebuy
80232,Kenneth Cole
80232,French Connection
80232,Diesel
80232,Container Store
80234,KitchenAid
80234,Cuisinart
80234,Gap
80234,Express
80234,Lands' End
80234,Target
80234,Nordstrom
80238,CB2
80242,Kohl's
80243,Target
80245,Converse
80245,Nine West
80245,Kohl's
80245,Old Navy
80245,6pm.com
80245,Target
80245,Container Store
80245,Shoebuy
80259,Melissa & Doug
80259,Betsey Johnson
80259,Nine West
80259,Banana Republic
80259,Gap
80259,Le Creuset
80259,Restoration Hardware
80259,J.Crew
80259,Lands' End
80259,Last Call by Neiman Marcus
80259,Old Navy
80259,Target
80259,Home Depot
80259,Nordstrom
80264,Nicole Miller
80264,Puma
80264,Melissa & Doug
80264,KitchenAid
80264,Cuisinart
80264,Lacoste
80264,BCBGMAXAZRIA
80264,Elie Tahari
80264,Nine West
80264,Diesel
80264,DKNY
80264,Banana Republic
80264,Kate Spade
80264,Gap
80264,Le Creuset
80264,Restoration Hardware
80264,J.Crew
80264,Last Call by Neiman Marcus
80264,Crate & Barrel
80264,CB2
80264,Target
80264,Container Store
80264,Home Depot
80264,Nordstrom
80264,Serena and Lily
80269,Steve Madden
80269,Guess
80269,Kohl's
80269,Old Navy
80269,Target
80269,Home Depot
80273,Levi's
80273,Puma
80273,Converse
80273,Banana Republic
80273,Gap
80273,Express
80273,Kohl's
80273,Target
80273,Home Depot
80273,Shoebuy
80275,Target
80279,Hanky Panky
80279,New Balance
80279,French Connection
80279,Elie Tahari
80279,Banana Republic
80279,Ethan Allen
80279,J.Crew
80279,Last Call by Neiman Marcus
80279,Crate & Barrel
80279,Container Store
80279,Home Depot
80279,Nordstrom
80280,Kenneth Cole
80280,Melissa & Doug
80280,Calvin Klein
80280,New Balance
80280,French Connection
80280,Steve Madden
80280,Guess
80280,Banana Republic
80280,Mikasa
80280,Ethan Allen
80280,Kohl's
80280,Lands' End
80280,Home Depot
80280,Serena and Lily
80282,KitchenAid
80282,Cuisinart
80282,Kohl's
80282,Crate & Barrel
80290,Kenneth Cole
80290,Melissa & Doug
80290,KitchenAid
80290,Cuisinart
80290,New Balance
80290,Converse
80290,French Connection
80290,Crocs
80290,Nine West
80290,Steve Madden
80290,Gap
80290,Lands' End
80290,Old Navy
80290,Target
80290,Home Depot
80290,Nordstrom
80294,Home Depot
80296,Lacoste
80296,Converse
80296,Steve Madden
80296,Guess
80296,DKNY
80296,Express
80296,6pm.com
80296,Nordstrom
80305,J.Crew
80305,Nordstrom
80306,Crate & Barrel
80308,Kohl's
80308,Lands' End
80308,Target
80308,Container Store
80308,Home Depot
80309,Nicole Miller
80309,BCBGMAXAZRIA
80309,Nine West
80309,Steve Madden
80309,Express
80309,Kohl's
80309,Last Call by Neiman Marcus
80309,Crate & Barrel
80309,6pm.com
80309,Target
80309,Container Store
80309,Shoebuy
80315,Target
80318,Old Navy
80319,Columbia
80319,New Balance
80319,Restoration Hardware
80319,Kohl's
80319,Old Navy
80319,Target
80319,Home Depot
80320,Banana Republic
80323,Gap
80326,Banana Republic
80332,Nine West
80333,Nicole Miller
80333,Melissa & Doug
80333,KitchenAid
80333,DKNY
80333,Banana Republic
80333,J.Crew
80333,Old Navy
80333,Container Store
80333,Home Depot
80334,Target
80344,Kohl's
80347,Gap
80351,BCBGMAXAZRIA
80352,Home Depot
80354,Guess
80354,Banana Republic
80354,Shoebuy
80356,Kohl's
80356,Lands' End
80356,Old Navy
80356,Crate & Barrel
80356,Container Store
80359,Banana Republic
80364,Old Navy
80364,Home Depot
80367,Nordstrom
80369,Le Creuset
80369,Kohl's
80369,Target
80374,French Connection
80374,Nordstrom
80383,Melissa & Doug
80383,KitchenAid
80383,BCBGMAXAZRIA
80383,Express
80383,Target
80384,Kohl's
80384,Old Navy
80384,Target
80384,Home Depot
80385,Tommy Hilfiger
80385,Kenneth Cole
80385,Calvin Klein
80385,Lacoste
80385,J.Crew
80385,Express
80385,Crate & Barrel
80385,Target
80385,Home Depot
80389,Ethan Allen
80389,Crate & Barrel
80389,6pm.com
80389,Container Store
80397,Kohl's
80397,Old Navy
80397,Target
80397,Container Store
80397,Home Depot
80397,Nordstrom
80399,Target
80400,Macy's
80401,Gap
80401,Kohl's
80401,Target
80401,Home Depot
80402,Guess
80405,Levi's
80405,Steve Madden
80411,Old Navy
80414,Under Armour
80422,Levi's
80422,Puma
80422,KitchenAid
80422,New Balance
80422,Diesel
80422,Guess
80422,DKNY
80422,Express
80422,Kohl's
80422,Target
80422,Home Depot
80425,Serena and Lily
80427,Puma
80427,New Balance
80427,Guess
80427,Banana Republic
80427,Gap
80427,Old Navy
80427,Target
80430,Banana Republic
80432,Calvin Klein
80432,Betsey Johnson
80432,Converse
80432,BCBGMAXAZRIA
80432,Steve Madden
80432,Guess
80432,DKNY
80432,Banana Republic
80432,Kate Spade
80432,J.Crew
80432,Express
80432,Target
80432,Nordstrom
80434,Kenneth Cole
80434,Cuisinart
80434,Banana Republic
80434,Le Creuset
80434,Restoration Hardware
80441,Old Navy
80443,Nicole Miller
80443,Hanky Panky
80443,Calvin Klein
80443,French Connection
80443,BCBGMAXAZRIA
80443,Elie Tahari
80443,Steve Madden
80443,Banana Republic
80443,Kate Spade
80443,J.Crew
80443,Crate & Barrel
80443,Nordstrom
80445,Betsey Johnson
80446,New Balance
80446,Banana Republic
80446,Crate & Barrel
80446,Target
80446,Home Depot
80446,Nordstrom
80448,J.Crew
80449,Elie Tahari
80450,Levi's
80450,Kenneth Cole
80450,Melissa & Doug
80450,KitchenAid
80450,Calvin Klein
80450,Cuisinart
80450,New Balance
80450,Converse
80450,Elie Tahari
80450,Nine West
80450,Banana Republic
80450,Mikasa
80450,Kate Spade
80450,Gap
80450,Restoration Hardware
80450,J.Crew
80450,Old Navy
80450,Crate & Barrel
80450,Target
80450,Home Depot
80450,Crate and Barrel
80452,Puma
80452,Kenneth Cole
80452,Calvin Klein
80452,Lacoste
80452,Steve Madden
80452,Guess
80452,Banana Republic
80452,Restoration Hardware
80452,Express
80452,Crate & Barrel
80452,Target
80456,Crate & Barrel
80456,Target
80456,Container Store
80456,Home Depot
80458,Kohl's
80458,Target
80463,Calvin Klein
80464,Old Navy
80465,Puma
80465,Kenneth Cole
80465,Melissa & Doug
80465,New Balance
80465,Crocs
80465,Nine West
80465,Steve Madden
80465,Banana Republic
80465,Kohl's
80465,Old Navy
80465,Crate & Barrel
80465,Target
80465,Home Depot
80467,Steve Madden
80468,Levi's
80468,Columbia
80468,Puma
80468,Converse
80468,Target
80468,Home Depot
80469,Tommy Hilfiger
80469,Kenneth Cole
80469,Melissa & Doug
80469,KitchenAid
80469,Cuisinart
80469,Converse
80469,Steve Madden
80469,Banana Republic
80469,Kate Spade
80469,Gap
80469,Ethan Allen
80469,J.Crew
80469,Lands' End
80469,Old Navy
80469,Crate & Barrel
80469,Home Depot
80469,Shoebuy
80478,Target
80481,Levi's
80481,Columbia
80481,Kenneth Cole
80481,Calvin Klein
80481,Lacoste
80481,French Connection
80481,Steve Madden
80481,Guess
80481,Banana Republic
80481,Kate Spade
80481,Old Navy
80481,6pm.com
80481,Target
80482,Last Call by Neiman Marcus
80482,Target
80490,Lacoste
80497,BCBGMAXAZRIA
80497,Nine West
80497,Steve Madden
80497,Guess
80497,Gap
80497,Express
80497,Old Navy
80497,Target
80497,Nordstrom
80497,Shoebuy
80502,Cuisinart
80504,Puma
80504,Lacoste
80504,New Balance
80504,Crocs
80504,Diesel
80504,Gap
80504,Kohl's
80504,Old Navy
80504,Target
80504,Home Depot
80508,New Balance
80508,Gap
80508,Express
80508,Kohl's
80508,Last Call by Neiman Marcus
80508,Old Navy
80508,Crate & Barrel
80508,Home Depot
80511,Express
80511,Target
80514,Target
80516,Melissa & Doug
80516,Kohl's
80518,Old Navy
80520,Nordstrom
80524,Cuisinart
80524,Kohl's
80524,Old Navy
80524,Target
80526,Levi's
80526,Tommy Hilfiger
80526,Kenneth Cole
80526,French Connection
80526,Nine West
80526,Ethan Allen
80526,Kohl's
80526,Crate & Barrel
80526,Target
80526,Container Store
80526,Home Depot
80526,Nordstrom
80534,Banana Republic
80537,Levi's
80537,Puma
80537,Betsey Johnson
80537,Converse
80537,French Connection
80537,BCBGMAXAZRIA
80537,Nine West
80537,Steve Madden
80537,Diesel
80537,DKNY
80537,Gap
80537,Express
80537,Old Navy
80537,Crate & Barrel
80537,6pm.com
80537,Target
80537,Container Store
80537,Nordstrom
80540,Columbia
80540,Nicole Miller
80540,Hanky Panky
80540,Calvin Klein
80540,Betsey Johnson
80540,BCBGMAXAZRIA
80540,Elie Tahari
80540,Nine West
80540,Steve Madden
80540,Diesel
80540,Guess
80540,DKNY
80540,Banana Republic
80540,Kate Spade
80540,J.Crew
80540,6pm.com
80540,Target
80542,Puma
80542,Nine West
80542,Express
80542,Target
80543,Columbia
80543,Nicole Miller
80543,Puma
80543,KitchenAid
80543,Calvin Klein
80543,Cuisinart
80543,Lacoste
80543,New Balance
80543,Converse
80543,Nine West
80543,Guess
80543,DKNY
80543,Banana Republic
80543,Kate Spade
80543,Gap
80543,Le Creuset
80543,J.Crew
80543,Express
80543,Kohl's
80543,Crate & Barrel
80543,Target
80543,Home Depot
80545,Calvin Klein
80545,New Balance
80545,BCBGMAXAZRIA
80545,Nike
80545,Guess
80545,Express
80545,Kohl's
80545,Charlotte Russe
80545,Forever 21
80545,H&M
80549,Calvin Klein
80551,Kohl's
80551,Old Navy
80551,Target
80551,Home Depot
80553,Columbia
80553,Tommy Hilfiger
80553,Nicole Miller
80553,Hanky Panky
80553,Kenneth Cole
80553,Melissa & Doug
80553,KitchenAid
80553,Calvin Klein
80553,Betsey Johnson
80553,John Varvatos
80553,Cuisinart
80553,Lacoste
80553,Villeroy & Boch
80553,New Balance
80553,Converse
80553,French Connection
80553,BCBGMAXAZRIA
80553,Crocs
80553,Elie Tahari
80553,Nine West
80553,Steve Madden
80553,Diesel
80553,Nambe
80553,Guess
80553,Lenox
80553,DKNY
80553,Banana Republic
80553,Kosta Boda
80553,Mikasa
80553,Kate Spade
80553,Gap
80553,Life is good
80553,Le Creuset
80553,Ethan Allen
80553,Restoration Hardware
80553,Horchow
80553,J.Crew
80553,Express
80553,Kohl's
80553,Last Call by Neiman Marcus
80553,Old Navy
80553,Crate & Barrel
80553,6pm.com
80553,CB2
80553,Target
80553,Container Store
80553,Home Depot
80553,Nordstrom
80553,Serena and Lily
80553,Shoebuy
80559,Kohl's
80559,Home Depot
80560,Nine West
80560,Steve Madden
80560,American Apparel
80560,CB2
80560,Target
80560,Container Store
80560,Home Depot
80560,Urban Outfitters
80561,Le Creuset
80562,Melissa & Doug
80562,KitchenAid
80562,Calvin Klein
80562,BCBGMAXAZRIA
80562,Nine West
80562,Steve Madden
80562,Guess
80562,Banana Republic
80562,Gap
80562,Express
80562,Kohl's
80562,Old Navy
80562,Nordstrom
80564,Target
80565,Banana Republic
80567,Gap
80567,Last Call by Neiman Marcus
80567,Old Navy
80567,Container Store
80568,Steve Madden
80568,Guess
80568,Old Navy
80568,Target
80568,Nordstrom
80569,Gap
80569,Old Navy
80569,Target
80571,Home Depot
80581,Le Creuset
80581,Restoration Hardware
80581,Kohl's
80581,Lands' End
80581,Crate & Barrel
80582,Banana Republic
80586,Target
80590,Columbia
80590,Tommy Hilfiger
80590,Puma
80590,Kenneth Cole
80590,KitchenAid
80590,Calvin Klein
80590,Lacoste
80590,New Balance
80590,Converse
80590,Guess
80590,Banana Republic
80590,Life is good
80590,Old Navy
80590,Home Depot
80590,Shoebuy
80598,Levi's
80598,Columbia
80598,Nicole Miller
80598,Nine West
80598,Target
80598,Home Depot
80601,Nicole Miller
80601,Kenneth Cole
80601,Melissa & Doug
80601,Betsey Johnson
80601,Lacoste
80601,New Balance
80601,BCBGMAXAZRIA
80601,Steve Madden
80601,Lenox
80601,DKNY
80601,Banana Republic
80601,Mikasa
80601,Kate Spade
80601,Gap
80601,J.Crew
80601,Express
80601,Lands' End
80601,Last Call by Neiman Marcus
80601,Crate & Barrel
80601,CB2
80601,Target
80601,Nordstrom
80601,Shoebuy
80603,Lands' End
80603,Target
80603,Home Depot
80604,Tommy Hilfiger
80604,Puma
80604,Calvin Klein
80604,Cuisinart
80604,DKNY
80604,Old Navy
80604,Nordstrom
80617,Express
80622,Gap
80624,Levi's
80624,Banana Republic
80624,Old Navy
80630,Hanky Panky
80637,Kohl's
80637,Target
80637,Home Depot
80639,Steve Madden
80639,Old Navy
80639,Target
80641,Gap
80641,Express
80641,Nordstrom
80649,BCBGMAXAZRIA
80649,Elie Tahari
80649,Steve Madden
80649,Container Store
80649,Nordstrom
80652,Levi's
80652,Calvin Klein
80652,Converse
80652,BCBGMAXAZRIA
80652,Steve Madden
80652,Aeropostale
80652,J.Crew
80652,Express
80652,Old Navy
80652,Charlotte Russe
80652,Target
80652,Hollister
80656,Columbia
80656,Hanky Panky
80656,Melissa & Doug
80656,KitchenAid
80656,Calvin Klein
80656,Cuisinart
80656,New Balance
80656,Crocs
80656,Steve Madden
80656,Banana Republic
80656,Gap
80656,Life is good
80656,J.Crew
80656,Lands' End
80656,Old Navy
80656,Crate & Barrel
80656,Target
80656,Home Depot
80656,Nordstrom
80656,Shoebuy
80658,Levi's
80658,Converse
80658,Banana Republic
80658,Gap
80658,Le Creuset
80658,J.Crew
80658,Old Navy
80658,Home Depot
80658,Nordstrom
80658,Shoebuy
80661,KitchenAid
80662,Cuisinart
80662,Converse
80662,Nike
80662,Restoration Hardware
80662,J.Crew
80662,Old Navy
80662,Pottery Barn
80662,Crate & Barrel
80662,6pm.com
80662,Target
80662,Container Store
80662,Home Depot
80662,Serena and Lily
80671,Gap
80671,Kohl's
80671,Old Navy
80679,Levi's
80679,Betsey Johnson
80679,Converse
80679,Nine West
